hash,level,moves,health,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,s0d0,s0d1,s0d2,s0d3,s0d4,s0d5,s1d0,s1d1,s1d2,s1d3,s1d4,s1d5,s2d0,s2d1,s2d2,s2d3,s2d4,s2d5,s3d0,s3d1,s3d2,s3d3,s3d4,s3d5,s4d0,s4d1,s4d2,s4d3,s4d4,s4d5,s5d0,s5d1,s5d2,s5d3,s5d4,s5d5
38,38,8,1,start,grass,endClosed,,,,grass,grass,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,warp,gem,gem,,,,gem,boulder,gem,,,,,,,,,,,,,,,,,,,,,
39,39,8,1,grass,grass,grass,,,,grass,start,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,gem,boulder,gem,,,,warp,,warp,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,,
40,40,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,hammer,,,,gem,warp,boulder,,,,warp,gem,,,,,,,,,,,,,,,,,,,,,,
41,41,6,1,start,grass,endClosed,,,,grass,grass,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,warp,gem,boulder,,,,gem,boulder,boulder,,,,,,,,,,,,,,,,,,,,,
42,42,6,1,start,grass,grass,,,,grass,grass,grass,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,hammer,gem,,,,boulder,warp,boulder,,,,,gem,warp,,,,,,,,,,,,,,,,,,,,,
43,43,7,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,warp,warp,boulder,,,,boulder,gem,,,,,,,,,,,,,,,,,,,,,,
44,44,8,1,grass,grass,grass,,,,start,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,warp,boulder,gem,,,,,boulder,warp,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,,
45,45,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,hammer,gem,,,,warp,boulder,boulder,,,,warp,gem,,,,,,,,,,,,,,,,,,,,,,
46,46,8,1,start,marsh,marsh,,,,grass,marsh,grass,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,warp,,warp,,,,gem,,,,,,,,,,,,,,,,,,,,,,,
47,47,12,1,start,marsh,grass,,,,marsh,grass,marsh,,,,grass,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,warp,,,,gem,boulder,gem,,,,warp,gem,,,,,,,,,,,,,,,,,,,,,,
48,48,11,1,start,marsh,marsh,,,,grass,endClosed,grass,,,,marsh,marsh,marsh,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,warp,,warp,,,,gem,,gem,,,,,,,,,,,,,,,,,,,,,
49,49,6,1,start,grass,grass,,,,grass,marsh,grass,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,boulder,,,,gem,warp,gem,,,,warp,boulder,,,,,,,,,,,,,,,,,,,,,,
50,50,9,1,start,marsh,endClosed,,,,marsh,marsh,grass,,,,marsh,marsh,grass,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,,,,,,,gem,warp,gem,,,,,,,,,,,,,,,,,,,,,
51,51,7,10,start,endClosed,grass,,,,grass,grass,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,gem,enemy,gem,,,,gem,gem,gem,,,,,,,,,,,,,,,,,,,,,
52,52,6,1,start,grass,grass,,,,grass,endClosed,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,gem,enemy,,,,enemy,,enemy,,,,enemy,gem,gem,,,,,,,,,,,,,,,,,,,,,
53,53,5,1,start,grass,grass,,,,grass,grass,grass,,,,grass,endClosed,grass,,,,,,,,,,,,,,,,,,,,,,,enemy,enemy,,,,gem,enemy,enemy,,,,gem,,gem,,,,,,,,,,,,,,,,,,,,,
54,54,8,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,enemy,gem,,,,hammer,boulder,gem,,,,enemy,gem,,,,,,,,,,,,,,,,,,,,,,
55,55,8,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,hammer,,,,gem,enemy,boulder,,,,boulder,gem,,,,,,,,,,,,,,,,,,,,,,
56,56,9,1,start,grass,grass,,,,grass,marsh,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,enemy,,,,enemy,,gem,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,
57,57,14,1,start,marsh,marsh,,,,marsh,marsh,marsh,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,gem,enemy,enemy,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,
58,58,8,1,start,grass,grass,,,,grass,grass,grass,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,enemy,gem,,,,,sword,boulder,,,,,,,,,,,,,,,,,,,,,
59,59,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,sword,enemy,,,,sword,enemy,enemy,,,,enemy,enemy,,,,,,,,,,,,,,,,,,,,,,
60,60,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,hammer,boulder,,,,boulder,boulder,boulder,,,,sword,enemy,,,,,,,,,,,,,,,,,,,,,,
61,61,10,1,start,marsh,grass,,,,marsh,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,sword,enemy,,,,gem,enemy,,,,,,,,,,,,,,,,,,,,,,
62,62,8,1,start,grass,grass,,,,grass,grass,grass,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,sword,warp,,,,enemy,enemy,gem,,,,,boulder,warp,,,,,,,,,,,,,,,,,,,,,
63,63,5,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,warp,enemy,,,,sword,enemy,enemy,,,,warp,enemy,,,,,,,,,,,,,,,,,,,,,,
64,64,7,1,endClosed,start,grass,,,,grass,grass,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,enemy,boulder,sword,,,,gem,sword,enemy,,,,,,,,,,,,,,,,,,,,,
65,65,6,1,start,grass,grass,,,,grass,grass,grass,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,hammer,gem,,,,boulder,warp,enemy,,,,,gem,warp,,,,,,,,,,,,,,,,,,,,,
66,66,7,1,start,grass,grass,,,,grass,grass,endClosed,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,sword,gem,,,,warp,boulder,,,,,gem,warp,enemy,,,,,,,,,,,,,,,,,,,,,
67,67,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,warp,boulder,,,,warp,boulder,gem,,,,hammer,enemy,,,,,,,,,,,,,,,,,,,,,,
68,68,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,warp,hammer,,,,warp,gem,enemy,,,,sword,boulder,,,,,,,,,,,,,,,,,,,,,,
69,69,8,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,sword,boulder,gem,,,,hammer,enemy,,,,,,,,,,,,,,,,,,,,,,
70,70,8,1,start,grass,endClosed,,,,grass,grass,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,enemy,,,,,warp,warp,boulder,,,,gem,sword,gem,,,,,,,,,,,,,,,,,,,,,
71,71,9,1,grass,grass,start,,,,grass,grass,endClosed,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,gem,boulder,,,,,gem,warp,,,,,sword,warp,enemy,,,,,,,,,,,,,,,,,,,,,
72,72,9,1,start,marsh,grass,,,,marsh,marsh,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,sword,,,,gem,gem,enemy,,,,sword,enemy,,,,,,,,,,,,,,,,,,,,,,
73,73,11,1,start,marsh,marsh,,,,marsh,endClosed,marsh,,,,marsh,marsh,marsh,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,enemy,,sword,,,,gem,enemy,warp,,,,,,,,,,,,,,,,,,,,,
74,74,12,1,start,marsh,marsh,,,,marsh,marsh,marsh,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,warp,sword,,,,warp,gem,enemy,,,,gem,enemy,,,,,,,,,,,,,,,,,,,,,,
75,75,10,1,start,marsh,marsh,,,,marsh,marsh,marsh,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,enemy,enemy,,,,gem,enemy,gem,,,,sword,enemy,,,,,,,,,,,,,,,,,,,,,,
76,76,2,1,start,ice,ice,,,,grass,grass,ice,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,3,1,start,ice,ice,,,,marsh,marsh,ice,,,,endClosed,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,
78,78,4,1,start,ice,ice,,,,ice,grass,ice,,,,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,gem,,,,gem,,,,,,,,,,,,,,,,,,,,,,,
79,79,4,1,start,grass,grass,,,,grass,ice,ice,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,gem,,,,,,warp,,,,,,,,,,,,,,,,,,,,,,
80,80,7,1,start,grass,grass,,,,ice,grass,endClosed,,,,ice,ice,grass,,,,,,,,,,,,,,,,,,,,,,,,sword,,,,,boulder,,,,,,gem,enemy,,,,,,,,,,,,,,,,,,,,,
81,81,10,1,start,grass,marsh,,,,endClosed,grass,ice,,,,marsh,grass,grass,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,,enemy,gem,,,,,sword,gem,,,,,,,,,,,,,,,,,,,,,
82,82,5,1,start,ice,ice,,,,ice,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,gem,warp,warp,,,,boulder,,,,,,,,,,,,,,,,,,,,,,,
83,83,6,2,start,grass,grass,,,,ice,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,gem,boulder,,,,,enemy,,,,,,,,,,,,,,,,,,,,,,,
84,84,6,1,start,ice,ice,,,,grass,grass,grass,,,,endClosed,ice,ice,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,sword,enemy,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,
85,85,7,1,start,ice,grass,,,,ice,grass,grass,,,,grass,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,gem,boulder,,,,warp,,,,,,,,,,,,,,,,,,,,,,,
86,86,6,1,start,endClosed,ice,,,,grass,grass,ice,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,hammer,boulder,gem,,,,,,,,,,,,,,,,,,,,,
87,87,7,1,start,ice,ice,,,,marsh,marsh,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,,enemy,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,
88,88,7,3,start,ice,grass,,,,ice,ice,ice,,,,grass,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,sword,,,,gem,gem,gem,,,,enemy,gem,,,,,,,,,,,,,,,,,,,,,,
89,89,7,2,start,grass,endClosed,,,,ice,ice,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,enemy,,,,,gem,gem,boulder,,,,sword,enemy,hammer,,,,,,,,,,,,,,,,,,,,,
90,90,7,1,start,grass,grass,,,,endClosed,ice,grass,,,,grass,grass,ice,,,,,,,,,,,,,,,,,,,,,,,enemy,sword,,,,,gem,enemy,,,,sword,enemy,gem,,,,,,,,,,,,,,,,,,,,,
91,91,7,2,start,ice,grass,,,,grass,grass,grass,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,gem,enemy,,,,boulder,warp,boulder,,,,,warp,gem,,,,,,,,,,,,,,,,,,,,,
92,92,6,1,start,ice,marsh,,,,endClosed,ice,marsh,,,,grass,grass,marsh,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,gem,,,,,sword,enemy,,,,,,,,,,,,,,,,,,,,,,
93,93,8,1,grass,ice,ice,,,,ice,start,grass,,,,ice,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,enemy,gem,gem,,,,gem,,warp,,,,gem,warp,,,,,,,,,,,,,,,,,,,,,,
94,94,10,1,start,ice,ice,,,,ice,ice,grass,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,gem,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95,7,1,start,ice,ice,,,,ice,ice,ice,,,,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,boulder,,,,gem,gem,gem,,,,boulder,gem,,,,,,,,,,,,,,,,,,,,,,
96,96,4,1,start,ice,ice,,,,ice,ice,ice,,,,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,gem,,enemy,,,,sword,gem,,,,,,,,,,,,,,,,,,,,,,
97,97,5,1,start,ice,ice,,,,ice,endClosed,ice,,,,ice,ice,ice,,,,,,,,,,,,,,,,,,,,,,,gem,hammer,,,,gem,,,,,,gem,gem,boulder,,,,,,,,,,,,,,,,,,,,,
98,98,6,2,start,ice,ice,,,,ice,ice,ice,,,,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,enemy,,,,sword,gem,gem,,,,gem,enemy,,,,,,,,,,,,,,,,,,,,,,
99,99,10,1,start,ice,ice,,,,ice,ice,ice,,,,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,warp,sword,,,,gem,gem,boulder,,,,enemy,warp,,,,,,,,,,,,,,,,,,,,,,
100,100,5,3,start,ice,ice,,,,ice,ice,ice,,,,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,sword,,,,gem,gem,enemy,,,,enemy,gem,,,,,,,,,,,,,,,,,,,,,,
101,101,7,1,start,ice,ice,grass,,,grass,grass,ice,grass,,,ice,ice,ice,grass,,,ice,grass,grass,endClosed,,,,,,,,,,,,,,,,gem,gem,boulder,,,boulder,boulder,gem,boulder,,,gem,gem,gem,boulder,,,gem,hammer,boulder,,,,,,,,,,,,,,,
102,102,14,1,start,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,warp,gem,gem,,,warp,boulder,gem,gem,,,gem,hammer,boulder,boulder,,,gem,gem,boulder,,,,,,,,,,,,,,,
103,103,12,1,start,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,gem,enemy,warp,,,gem,hammer,boulder,boulder,,,boulder,boulder,boulder,warp,,,sword,gem,boulder,,,,,,,,,,,,,,,
104,104,12,1,grass,grass,grass,grass,,,grass,start,grass,grass,,,grass,grass,endClosed,grass,,,grass,grass,grass,grass,,,,,,,,,,,,,,,gem,enemy,hammer,boulder,,,enemy,,warp,hammer,,,sword,warp,,boulder,,,boulder,sword,boulder,gem,,,,,,,,,,,,,,
105,105,10,1,start,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,hammer,gem,boulder,,,hammer,boulder,boulder,boulder,,,hammer,boulder,boulder,boulder,,,boulder,boulder,boulder,,,,,,,,,,,,,,,
106,106,12,1,start,grass,grass,grass,,,grass,marsh,marsh,grass,,,grass,marsh,marsh,grass,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,sword,enemy,gem,,,sword,,,enemy,,,enemy,,,enemy,,,enemy,enemy,enemy,,,,,,,,,,,,,,,
107,107,15,1,start,marsh,grass,grass,,,marsh,marsh,grass,grass,,,grass,grass,marsh,marsh,,,grass,grass,marsh,endClosed,,,,,,,,,,,,,,,,,gem,gem,,,,,gem,gem,,,gem,gem,,,,,gem,gem,,,,,,,,,,,,,,,,
108,108,17,1,start,endClosed,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,grass,,,,,,,,,,,,,,,,,enemy,gem,,,gem,sword,,enemy,,,enemy,boulder,sword,gem,,,gem,enemy,gem,enemy,,,,,,,,,,,,,,
109,109,5,1,start,ice,ice,grass,,,ice,grass,grass,ice,,,ice,grass,grass,ice,,,endClosed,ice,ice,grass,,,,,,,,,,,,,,,,gem,gem,warp,,,gem,enemy,enemy,gem,,,gem,enemy,enemy,gem,,,,gem,gem,warp,,,,,,,,,,,,,,
110,110,9,1,start,grass,grass,grass,,,ice,ice,grass,grass,,,ice,ice,grass,grass,,,grass,grass,endClosed,grass,,,,,,,,,,,,,,,,,,gem,,,,,gem,,,,,,boulder,,,,boulder,gem,,boulder,,,,,,,,,,,,,,
111,111,12,1,start,grass,grass,ice,,,grass,grass,grass,ice,,,endClosed,grass,grass,ice,,,grass,marsh,ice,ice,,,,,,,,,,,,,,,,,enemy,gem,,,,,,gem,,,,,,gem,,,sword,,gem,gem,,,,,,,,,,,,,,
112,112,12,1,start,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,warp,boulder,gem,boulder,,,gem,gem,boulder,warp,,,hammer,,boulder,,,,,,,,,,,,,,,
